codigo,titulo,endereco,bairro,modalidade,valor,area,quartos,tipo_imovel,numero_item
878771049129-1,SAO PAULO - COND RES DEZ SÃO MIGUEL,"AVENIDA NORDESTINA,N. 2780 Apto. 1711 TORRE 01, , SÃO MIGUEL PAULISTA",,Leilão,"R$ 144.238,81",,,,542
878771144684-2,SAO PAULO - CONDOMINIO RESIDENCIAL DEZ NORDESTINA,"AVENIDA NORDESTINA,N. 2800 Apto. 308 TR 1, , SÃO MIGUEL PAULISTA",,Leilão,"R$ 230.000,00","54,06 m²",2 quartos,Apartamento,529
878770569947-5,SAO PAULO - COND RES DEZ GAMELINHA,"AVENIDA OSVALDO VALLE CORDEIRO,N. 1260 Apto. 71 TORRE 3, , 38 SUBD VILA MATILDE",VILA MATILDE,Leilão,"R$ 254.257,63","73,99 m²",2 quartos,Apartamento,541
878771304991-3,SAO PAULO - MEU MUNDO ESTACAO MOOCA,"AVENIDA PRESIDENTE WILSON,N. 620 Apto. 306 TORRE 04, , MOOCA",MOOCA,Leilão,"R$ 202.103,72","50,67 m²",2 quartos,Apartamento,543
844441568512-6,SAO PAULO - CONDOMÍNIO RESIDENCIAL SAFIRA,"AVENIDA RAIMUNDO PEREIRA DE MAGALHAES,N. 1720 Apto. 11 BL 14, COND PROJ BANDEIRANTE, , 31 SUBD PIRITUBA",PIRITUBA,Leilão,"R$ 276.847,02","87,73 m²",2 quartos,Apartamento,530
878770258811-7,SAO PAULO - JARAGUÁ,"AVENIDA RAIMUNDO PEREIRA DE MAGALHAES,N. 10797 Apto. 13 BL 1.",,Leilão,"R$ 223.538,09","67,37 m²",,Apartamento,531
878771382034-2,SAO PAULO - COND RES UNICO JACU PESSEGO,"AVENIDA SAO MIGUEL,N. 8184 Apto. 1601, , DIST S MIGUEL PAULIS",,Leilão,"R$ 230.000,00","52,94 m²",2 quartos,Apartamento,550
155551627017-0,SAO PAULO - RES VILLA DE ESPANHA,"AVENIDA VENCESLAU DE QUEIROS,N. SN Apto. 21 ED ÁVILA, , SUBSTRITO BUTANTA",BUTANTA,Leilão,"R$ 660.000,00","184,56 m²",2 quartos,Apartamento,537
878770635598-2,SAO PAULO - COND RES DEZ VILA EMA,"AVENIDA VILA EMA,N. 3000 Apto. 178 TORRE 1, , 26 SUBD V PRUDENTE",VILA EMA,Leilão,"R$ 223.702,82",,,,542
878772030437-0,SAO PAULO - COND RES PORTAL DA VILA PRUDENTE,"AVENIDA VILA EMA,N. 2258 Apto. 1910 TORRE B, , VILA PRUDENTE",VILA PRUDENTE,Leilão,"R$ 260.578,91","45,33 m²",2 quartos,Apartamento,544
878770728942-8,SAO PAULO - TURQUESA,"Número do item: 564R KENKITI SHIMOMOTO,N. SN Apto. 108 BL 5 CHACARA BUSSOCABA N 13, , 13 SUBDISTRITO BUTAN",,Leilão,"R$ 229.921,74","66,94 m²",1 quartos,Apartamento,564
878771090618-1,SAO PAULO - COND RES PARQUE DAS FLORES- BERGONIA,"RUA ADERVAL ALVES RODRIGUES,N. 41 Apto. 0802, , GUAIANASES",GUAIANASES,Leilão,"R$ 203.127,18","66,37 m²",,Apartamento,545
155553089956-0,SAO PAULO - COND ROSSI IDEAL PARQUE SUGAYA,"RUA AGRIMENSOR SUGAYA,N. 1437 Apto. 15 BL 03 - SOL, , DISTRITO GUAIANAZES",GUAIANAZES,,"R$ 172.829,75",,3 quartos,,477
878771141376-6,SAO PAULO - VILLA CHIARIZZI MOOCA,"RUA ANTONIO CHIARIZZI,N. 145 Apto. 301 TIPO F, TORRE ROMA, , MOOCA",MOOCA,Leilão,"R$ 201.000,00","88,06 m²",2 quartos,Apartamento,546
878771138054-0,SAO PAULO - PROJETO IMOBILIARIO E 61,"RUA ANTONIO DO CAMPO,N. 883 Apto. 510 TORRE A, , 29 SUBDIST STO AMARO",,Leilão,"R$ 228.000,00","58,12 m²",2 quartos,Apartamento,543
844443190946-7,SAO PAULO - EDIFICIO TAMBAÚ,"RUA ARAPOCA,N. 416 Apto. 31, , VILA FORMOSA",VILA FORMOSA,Leilão,"R$ 1.162.780,57","437,15 m²",,Apartamento,547
878771375570-2,SAO PAULO - COND SPAZIO SAINT IVES,"RUA ATOR PAULO GUSTAVO,N. 177 Apto. 1302 AP 1302 TORRE 2 PAV 13, , DIST ITAQUERA",ITAQUERA,Leilão,"R$ 250.350,88","91,8 m²",2 quartos,Apartamento,503
878771175064-9,SAO PAULO - COND PROJETO IMOBILIARIO E 75,"RUA CARLOS MARIA STEIMBERG,N. 194 Apto. 705 TORRE B, , VILA RE",VILA RE,Leilão,"R$ 181.712,95","49,84 m²",,Apartamento,548
844441267865-0,SAO PAULO - CONDOMINIO ILHA DA VITORIA,"RUA CORACAO DE MAÇA (ANTIGA RUA DEZENOVE),N. 72 Apto. 53-B INTEGRANTE CONJ HAB BARRO BRANCO, , GUAIANASES",GUAIANASES,Leilão,"R$ 159.198,88","46,25 m²",2 quartos,Apartamento,549
878771077941-4,SAO PAULO - PORTO TRINDADE,"RUA CRUZ DO ESPIRITO SANTO,N. 528 Apto. 404 BL 01, , GUAIANASES",GUAIANASES,Leilão,"R$ 112.514,47","63,05 m²",2 quartos,Apartamento,550
844440798731-3,SAO PAULO - CONDOMINIO RESIDENCIAL GUARIBA,"RUA DOS PEDREIROS (ANTIGA AV TRES-C ),N. 79 Apto. 44-A, , GUAIANASES",GUAIANASES,Leilão,"R$ 137.703,73","46,1 m²",2 quartos,Apartamento,551
144440114603-3,SAO PAULO - CONDOMINIO RESIDENCIAL PORTOFINO,"RUA ENGENHEIRO PEDRO GARCIN,N. 191 Apto. 203 TIPO B, 1, BUTANTÃ",BUTANTÃ,Leilão,"R$ 403.965,01","95,08 m²",2 quartos,Apartamento,552
844440371035-0,SAO PAULO - CONDOMÍNIO ALMISCAREIRA I,"RUA ESQUIVEL NAVARRO,N. 450 Apto. 23-C CJ HAB TEOTONIO VILELA, , JARDIM SAPOPEMBA",SAPOPEMBA,Leilão,"R$ 136.952,39","45,49 m²",2 quartos,Apartamento,553
844440942778-1,SAO PAULO - CONDOMINIO ANDIRABIA I,"RUA ESQUIVEL NAVARRO,N. 1074 Apto. 33-B CJ HAB TEOTONIO VILELA-JARDIM SAPOPEMBA, , CJ HAB TEOTONIO VILE",SAPOPEMBA,Leilão,"R$ 255.041,52","45,49 m²",,Apartamento,554
878771231593-8,SAO PAULO - OURO PRETO,"RUA ESTADO DO CEARA,1084,N. 1138 Apto. 32 BL05 TATUAPE",TATUAPE,Leilão,"R$ 205.000,00","65,64 m²",2 quartos,Apartamento,544
878770689310-0,SAO PAULO - COND MODENA,"RUA FIGUEIRA DA POLINESIA,N. 825 Apto. 84 BL 04, , JARDIM MATARAZZO",JARDIM MATARAZZO,Leilão,"R$ 233.880,84","62,26 m²",2 quartos,Apartamento,555
144442020362-4,SAO PAULO - RESIDENCIAL  VIVA - VILA GUILHERMINA,"RUA FILIPE GALVAO,N. 47 Apto. 31, , VILA GRANADA",VILA GRANADA,Leilão,"R$ 304.115,72","111,06 m²",2 quartos,Apartamento,556
