codigo,titulo,endereco,bairro,modalidade,valor,area,quartos,tipo_imovel,numero_item
855550305779-0,MANAUS - VERONA PREMIUM,"AVENIDA PROFESSOR PAULO GRACA,N. 1302 Apto. 101 BL- 93, , LAGO AZUL",LAGO AZUL,Venda Direta,,,2 quartos,,
855550305803-6,MANAUS - RES VERONA PREMIUM,"AVENIDA PROFESSOR PAULO GRACA,N. 1302 Apto. 102 BL 73, , LAGO AZUL",LAGO AZUL,Venda Direta,,,2 quartos,,
855550307598-4,MANAUS - COND  RES  VERONA PREMIUM,"AVENIDA PROFESSOR PAULO GRACA,N. 1302 Apto. 202 BL 74, , LAGO AZUL",LAGO AZUL,Venda Direta,,,2 quartos,,
855550308004-0,MANAUS - VERONA PREMIUM,"AVENIDA PROFESSOR PAULO GRACA,N. 1302 Apto. 204 BL 76, , LAGO AZUL",LAGO AZUL,,"R$ 65.348,57","165,29 m²",2 quartos,Apartamento,10
855550321751-7,MANAUS - COND RES VERONA PREMIUM,"AVENIDA PROFESSOR PAULO GRACA,N. 1302 Apto. 201 BL 89, , LAGO AZUL",LAGO AZUL,Venda Direta,,,2 quartos,,
855550367939-1,MANAUS - COND RES. VERONA PREMIUM,"AVENIDA PROFESSOR PAULO GRACA,N. 1302 Apto. 101 BL 101, , LAGO AZUL",LAGO AZUL,Venda Direta,,,2 quartos,,
855550372695-0,MANAUS - VERONA PREMIUM,"AVENIDA PROFESSOR PAULO GRACA,N. 1302 Apto. 102 BL- 81, , LAGO AZUL",LAGO AZUL,Venda Direta,,,2 quartos,,
855550374216-6,MANAUS - COM RES VERONA PREMIUM,"AVENIDA PROFESSOR PAULO GRACA,N. 1302 Apto. 104 BL 09, , LAGO AZUL",LAGO AZUL,Leilão,"R$ 129.000,00","165,29 m²",2 quartos,Apartamento,10
855550374228-0,MANAUS - COND RES  VERONA PREMIUM,"AVENIDA PROFESSOR PAULO GRACA,N. 1302 Apto. 203 BL 79, , LAGO AZUL",LAGO AZUL,Venda Direta,,,2 quartos,,
855550375109-2,MANAUS - COND RESIDENCIAL VERONA PREMIUM,"AVENIDA PROFESSOR PAULO GRACA,N. 1302 Apto. 203 BL 98, , LAGO AZUL",LAGO AZUL,Venda Direta,,,2 quartos,,
855550375128-9,MANAUS - COND RES. VERONA PREMIUM,"AVENIDA PROFESSOR PAULO GRACA,N. 1302 Apto. 204 BL 04, , LAGO AZUL",LAGO AZUL,Venda Direta,,,2 quartos,,
855550375549-7,MANAUS - COND RES VERONA PREMIUM,"AVENIDA PROFESSOR PAULO GRACA,N. 1302 Apto. 204 BL-19, , LAGO AZUL",LAGO AZUL,Venda Direta,,,2 quartos,,
855550377576-5,MANAUS - COND  RES  VERONA PREMIUM,"AVENIDA PROFESSOR PAULO GRACA,N. 1302 Apto. 203 BL 83, , LAGO AZUL",LAGO AZUL,,"R$ 67.068,27","165,29 m²",2 quartos,Apartamento,10
855550377937-0,MANAUS - RES VERONA PREMIUM,"AVENIDA PROFESSOR PAULO GRACA,N. 1302 Apto. 204 BL 17, , LAGO AZUL",LAGO AZUL,Venda Direta,,,2 quartos,,
855550398021-0,MANAUS - COND. RESID. VERONA PREMIUM,"AVENIDA PROFESSOR PAULO GRACA,N. 1302 Apto. 201 BL 76, , LAGO AZUL",LAGO AZUL,Venda Direta,,,2 quartos,,
855550411991-8,MANAUS - RES VERONA PREMIUM,"AVENIDA PROFESSOR PAULO GRACA,N. 1302 Apto. 201 BL 05, , LAGO AZUL",LAGO AZUL,Venda Direta,,,2 quartos,,
855550414522-6,MANAUS - COND. RES. VERON PREMIUM,"AVENIDA PROFESSOR PAULO GRACA,N. 1302 Apto. 103 BL 83, , LAGO AZUL",LAGO AZUL,Venda Direta,,,2 quartos,,
855550414747-4,MANAUS - COND RES VERONA PREMIU,"AVENIDA PROFESSOR PAULO GRACA,N. 1302 Apto. 201 BL 103, , LAGO AZUL",LAGO AZUL,Venda Direta,,,2 quartos,,
855550415498-5,MANAUS - COND RES. VERONA PREMIUM,"AVENIDA PROFESSOR PAULO GRACA,N. 1302 Apto. 203 BL 99, , LAGO AZUL",LAGO AZUL,Venda Direta,,,2 quartos,,
855550433049-0,MANAUS - VERONA PREMIUM,"AVENIDA PROFESSOR PAULO GRACA,N. 1302 Apto. 104 BLOCO 10, , LAGO AZUL",LAGO AZUL,Venda Direta,,,2 quartos,,
855550435900-5,MANAUS - CONJ RES VERONA PREMIUM,"AVENIDA PROFESSOR PAULO GRACA,N. 1302 Apto. 102 BL 71, , LAGO AZUL",LAGO AZUL,Venda Direta,,,2 quartos,,
855550442030-8,MANAUS - VERONA PREMIUM,"AVENIDA PROFESSOR PAULO GRAÇA,N. 1302 Apto. 202 BL 87, , LAGO AZUL",LAGO AZUL,Venda Direta,,,2 quartos,,
855550584856-5,MANAUS - COND  RES  VERONA PREMIUM,"AVENIDA PROFESSOR PAULO GRACA,N. 1302 Apto. 204 BL 87, , LAGO AZUL",LAGO AZUL,,"R$ 69.934,44","165,29 m²",2 quartos,Apartamento,11
855550585801-3,MANAUS - COND RES  VERONA PREMIUM,"AVENIDA PROFESSOR PAULO GRACA,N. 1302 Apto. 101 BL 84, , LAGO AZUL",LAGO AZUL,Venda Direta,,,2 quartos,,
855550604221-1,MANAUS - COND RES VERONA PREMIUM,"AVENIDA PROFESSOR PAULO GRACA,N. 1302 Apto. 104 BL 76, , LAGO AZUL",LAGO AZUL,Venda Direta,,,2 quartos,,
855550665729-1,MANAUS - COND RES VERONA PREMIUM,"AVENIDA PROFESSOR PAULO GRACA,N. 1302 Apto. 202 BL 54, , LAGO AZUL",LAGO AZUL,Venda Direta,,,2 quartos,,
855550678090-5,MANAUS - CONDOMINIO RESIDENCIAL VERONA PREMIUM,"AVENIDA PROFESSOR PAULO GRACA,N. 1302 Apto. 201 BL 74, , LAGO AZUL",LAGO AZUL,Venda Direta,,,2 quartos,,
855550708513-5,MANAUS - COND RES. VERONA PREMIUM,"AVENIDA PROFESSOR PAULO GRACA,N. 1302 Apto. 203 BL 66, , LAGO AZUL",LAGO AZUL,Venda Direta,,,2 quartos,,
855550724482-9,MANAUS - CONDOMINIO RESIDENCIAL VERONA PREMIUM,"AVENIDA PROFESSOR PAULO GRACA,N. 1302 Apto. 101 BL-64, , LAGO AZUL",LAGO AZUL,Venda Direta,,,2 quartos,,
855550725677-0,MANAUS - COND  RES  VERONA PREMIUM,"AVENIDA PROFESSOR PAULO GRACA,N. 1302 Apto. 101 BL 86, , LAGO AZUL",LAGO AZUL,Venda Direta,,,2 quartos,,
855550726160-0,MANAUS - COND RES VERONA PREMIUM,"AVENIDA PROFESSOR PAULO GRACA,N. 1302 Apto. 204 BL 88, , LAGO AZUL",LAGO AZUL,Venda Direta,,,2 quartos,,
855550726806-0,MANAUS - COND RES  VERONA PREMIUM,"AVENIDA PROFESSOR PAULO GRACA,N. 1302 Apto. 101 BL 97, , LAGO AZUL",LAGO AZUL,Venda Direta,,,2 quartos,,
855550749008-0,MANAUS - COND RES  VERONA PREMIUM,"AVENIDA PROFESSOR PAULO GRACA,N. 1302 Apto. 101 BL 56, , LAGO AZUL",LAGO AZUL,Venda Direta,,,2 quartos,,
855550805384-9,MANAUS - COND RES VERONA PREMIUM,"AVENIDA PROFESSOR PAULO GRAÇA,N. 1302 Apto. 202 BL 53, , LAGO AZUL",LAGO AZUL,Venda Direta,,,2 quartos,,
